country_id,tournament_id,tournament_name,tournament_url,tournament_stage_id,tournament_template_id,country_name
176,UkksTK1s,LaLiga,/football/spain/laliga/,vcm2MhGk,QVmLl54o,Spain
176,bJ6JSbWg,LaLiga2,/football/spain/laliga2/,zPtBKWp2,vZiPmPJi,Spain
176,dWgNupcf,Primera RFEF - Group 1,/football/spain/primera-rfef-group-1/,W6WzKfZ2,Q1n2ONwf,Spain
176,rihiuOR6,Primera RFEF - Group 2,/football/spain/primera-rfef-group-2/,Sv9hGCYR,8Qy7Nsg0,Spain
176,xjo0w2dJ,Primera RFEF - Play Offs,/football/spain/primera-rfef-play-offs/,bNaOAjdk,j19c2DN8,Spain
176,2VP4ychA,Primera RFEF - Promotion Play Offs,/football/spain/primera-rfef-promotion-play-offs/,SpWBS710,AaHEFP1H,Spain
176,4vlCg1BC,Segunda RFEF - Group 1,/football/spain/segunda-rfef-group-1/,UqyaEP2s,04200qZc,Spain
176,SntUtutP,Segunda RFEF - Group 2,/football/spain/segunda-rfef-group-2/,QXgmt21t,ve14a3l4,Spain
176,CbMpoiht,Segunda RFEF - Group 3,/football/spain/segunda-rfef-group-3/,bV9CxK05,dbCBmN3A,Spain
176,pCKhqVMh,Segunda RFEF - Group 4,/football/spain/segunda-rfef-group-4/,hS3YkJFb,v7ZNnsJG,Spain
176,OjXVr9i5,Segunda RFEF - Group 5,/football/spain/segunda-rfef-group-5/,vgBO4IUi,E5VZ3DwB,Spain
176,Ig2NG6y8,Segunda RFEF - Promotion Play Offs,/football/spain/segunda-rfef-promotion-play-offs/,SEs6tRVa,8d9trHU2,Spain
176,C4ktPxAK,Segunda RFEF - Play Out,/football/spain/segunda-rfef-play-out/,MysAuoo6,bwbQIDxd,Spain
176,fZmDdQ5N,Tercera RFEF - Group 1,/football/spain/tercera-rfef-group-1/,MBcSgqS7,Cnf2k8It,Spain
176,UBfdUFuR,Tercera RFEF - Group 2,/football/spain/tercera-rfef-group-2/,b1jYrytS,2ymFn62a,Spain
176,I1fyPg3l,Tercera RFEF - Group 3,/football/spain/tercera-rfef-group-3/,jaVCygY1,ppARoQH5,Spain
176,4Mh5OXX0,Tercera RFEF - Group 4,/football/spain/tercera-rfef-group-4/,M332dzeL,W44inpXB,Spain
176,0lnEMB2D,Tercera RFEF - Group 5,/football/spain/tercera-rfef-group-5/,IJ6kkhme,Ae3eo4nI,Spain
176,d0c8pFfK,Tercera RFEF - Group 6,/football/spain/tercera-rfef-group-6/,8UAhBZ9E,hKh0pO1O,Spain
176,GCfsUhIs,Tercera RFEF - Group 7,/football/spain/tercera-rfef-group-7/,EDfsi5Oa,6Nd4qrHU,Spain
176,SfMcSWnf,Tercera RFEF - Group 8,/football/spain/tercera-rfef-group-8/,hvOkmNNO,n1dI4Rnt,Spain
176,lAA6QAH6,Tercera RFEF - Group 9,/football/spain/tercera-rfef-group-9/,8zGG54wg,QieM3o2n,Spain
176,djv8Eoj4,Tercera RFEF - Group 10,/football/spain/tercera-rfef-group-10/,0WyEUP3K,MNpm45Hh,Spain
176,6uvBBPKG,Tercera RFEF - Group 11,/football/spain/tercera-rfef-group-11/,fgDmMsdf,0Eqi3PWb,Spain
176,xS0rgH4k,Tercera RFEF - Group 12,/football/spain/tercera-rfef-group-12/,OY44IaeJ,fyqe2qn5,Spain
176,ClkDheZ1,Tercera RFEF - Group 13,/football/spain/tercera-rfef-group-13/,vVdVzsBm,M1gg031B,Spain
176,4SgGExdL,Tercera RFEF - Group 14,/football/spain/tercera-rfef-group-14/,4MsKM2Di,4QrbaNGH,Spain
176,dEbGAGJr,Tercera RFEF - Group 15,/football/spain/tercera-rfef-group-15/,zicqJKCG,rHs2bsWN,Spain
176,hthP8fle,Tercera RFEF - Group 16,/football/spain/tercera-rfef-group-16/,IF8JXJR9,josSb1oU,Spain
176,QgjX6YI7,Tercera RFEF - Group 17,/football/spain/tercera-rfef-group-17/,EVB6QyKq,hfTgfLgo,Spain
176,OEilWyBE,Tercera RFEF - Group 18,/football/spain/tercera-rfef-group-18/,Q3z9nJt3,0pIr3Dco,Spain
176,K4BdkgWt,Tercera RFEF - Promotion Play Offs,/football/spain/tercera-rfef-promotion-play-offs/,GCVf6saB,KCcAmnmg,Spain
176,pIDAYtvK,Copa del Rey,/football/spain/copa-del-rey/,8AQUv1WG,lnb8EJRp,Spain
176,GW45mX0g,Copa Federacion,/football/spain/copa-federacion/,UF9fNfi0,0vEaiVJU,Spain
176,OvNQ0Uyn,Super Cup,/football/spain/super-cup/,h8sUt6r2,YTYRo1YM,Spain
176,COOwHoS9,Kings League - Spain,/football/spain/kings-league-spain/,6FgFZgsA,QXh69gEb,Spain
176,QaFYaEr9,Liga F Women,/football/spain/liga-f-women/,IFb3JQNM,OG5aZV0d,Spain
176,Wbs6s6Ss,Primera Federacion Women,/football/spain/primera-federacion-women/,2mzzE4op,ERlL7EZK,Spain
176,EgcGAwnD,Copa de la Reina Women,/football/spain/copa-de-la-reina-women/,8Q8DtN14,AwN0lsm8,Spain
176,K6GZb86b,Super Cup Women,/football/spain/super-cup-women/,CYmP49z9,6o9Kmz5C,Spain
17,QLlHEHqJ,Abissnet Superiore,/football/albania/abissnet-superiore/,8ECkLGL5,nwPDBpVc,Albania
17,hpUMJjjB,Kategoria e Parë,/football/albania/kategoria-e-pare/,C46PTuGG,OQQL95Wn,Albania
17,pr91C8ro,Albanian Cup,/football/albania/albanian-cup/,lU1bp10c,MyD3Jn1A,Albania
17,IeB2XYTB,Super Cup,/football/albania/super-cup/,CfkETwQi,4pzGI6GG,Albania
18,WCbTWTZG,Ligue 1,/football/algeria/ligue-1/,Iylbph6E,zLQAGOBK,Algeria
18,6ZnbW74T,Ligue 2,/football/algeria/ligue-2/,E3s7rWzR,MJijSTCe,Algeria
18,hYihlTlA,Algeria Cup,/football/algeria/algeria-cup/,zofuo5sJ,6mNsUS0p,Algeria
18,t4jCVTl1,Super Cup,/football/algeria/super-cup/,KShqxl1D,OlBtnw1A,Algeria
18,8ATJQT5i,U21 League,/football/algeria/u21-league/,ph5wQePG,OQFdPlNR,Algeria
19,vPA526YF,Primera Divisió,/football/andorra/primera-divisio/,O89LE3B5,E7DwJSo4,Andorra
19,U1Xs2p3S,Andorra Cup,/football/andorra/andorra-cup/,QZU1fZPj,SKvdUpoT,Andorra
19,fRVVNRkA,Super Cup,/football/andorra/super-cup/,6o0CtH9c,n9PKHQVM,Andorra
20,rg9z4EC4,Girabola,/football/angola/girabola/,hYzpjRb3,YynSfzO1,Angola
20,Kjm4iDlI,Super Cup,/football/angola/super-cup/,t4lTrOft,lGLitwgU,Angola
21,l4XqdAZj,ABFA Premier League,/football/antigua-barbuda/abfa-premier-league/,tALXrzcf,jNIGMExd,Antigua & Barbuda
23,0IeoV2YH,Premier League,/football/armenia/premier-league/,SpCaRE0E,I5wWW4UM,Armenia
23,MXqfTt3U,First League,/football/armenia/first-league/,6mw532EO,88zrouK3,Armenia
23,bN6Kmpln,Armenian Cup,/football/armenia/armenian-cup/,lWWNN5at,p0RNP4gp,Armenia
23,2cjKowSH,Super Cup,/football/armenia/super-cup/,K6RYnYlK,OjQROO8j,Armenia
229,6sBEqtIN,Division di Honor,/football/aruba/division-di-honor/,lzDMYMDb,htKvweNB,Aruba
24,KA2u2NXi,A-League,/football/australia/a-league/,ADPCmMSi,OjWW1naM,Australia
24,6FIQauXG,NPL ACT,/football/australia/npl-act/,jyqprIdT,r7Zd73Ph,Australia
24,vTGYcJ1T,NPL Northern NSW,/football/australia/npl-northern-nsw/,ddEdaaCc,xUY06Nva,Australia
24,U3U150Hc,NPL NSW,/football/australia/npl-nsw/,E5jcajIE,IDVz16ES,Australia
24,jJIA3vnA,NPL Queensland,/football/australia/npl-queensland/,Iochjnu1,G8PFBMll,Australia
24,vV3CnWVr,NPL South Australia,/football/australia/npl-south-australia/,8CTmCT1K,AVOJAt4f,Australia
24,6seTrlV7,NPL Tasmania,/football/australia/npl-tasmania/,8bzIJp9m,U3Vh8qAn,Australia
24,CSah6ViR,NPL Victoria,/football/australia/npl-victoria/,GEvjEtwP,lfZXonNq,Australia
24,0IaX09Fl,NPL Western Australia,/football/australia/npl-western-australia/,WAWGWNhg,bRZ9b6xj,Australia
24,YHSOtf32,NPL Finals Series,/football/australia/npl-finals-series/,8UHQ37ns,0CiRNVaB,Australia
24,tbM3lLbd,Capital Premier League,/football/australia/capital-premier-league/,IaxIzCy2,WOImkHIt,Australia
24,xzqaFnaf,Northern NSW State League,/football/australia/northern-nsw-state-league/,rgOss0O8,jsXtoDnI,Australia
24,bkX7DQT6,NSW League One,/football/australia/nsw-league-one/,hCRUZHGr,rHTYnZH5,Australia
24,63OUKGHP,Queensland Premier League,/football/australia/queensland-premier-league/,xblufw8E,pEyP1YWb,Australia
24,2Z90Ffum,SA State League,/football/australia/sa-state-league/,YDiSne0l,d6nAajWN,Australia
24,CEnvDCvC,Tasmania Northern Championship,/football/australia/tasmania-northern-championship/,tlK7on65,CdLkqiHU,Australia
24,65ZQWgft,Tasmania Southern Championship,/football/australia/tasmania-southern-championship/,Aiz6bPkB,lnrG3f2n,Australia
24,04SZUXOh,Victoria Premier League,/football/australia/victoria-premier-league/,SjPqisro,4xHememg,Australia
24,CdwLSkOH,WA State League,/football/australia/wa-state-league/,KEo4B2ZG,UsZTs0BD,Australia
24,CvSKqfZp,Australia Cup,/football/australia/australia-cup/,x8o13QPB,C8jTVoo9,Australia
24,tvfOk0s2,Y-League,/football/australia/y-league/,YeeHraa4,Gv2kjDpN,Australia
24,Q1GMJ2aM,A-League Women,/football/australia/a-league-women/,dU7xwuYF,tbR6H4dE,Australia
25,rLV7T1Fd,Bundesliga,/football/austria/bundesliga/,rHlgXND5,rJg7S7Me,Austria
25,r9JMxEY2,2. Liga,/football/austria/2-liga/,YVUSmqbn,EPQbW9EF,Austria
25,zHyUzh3F,Regionalliga East,/football/austria/regionalliga-east/,WE0YPWBd,A5eaUTiq,Austria
25,0lloZVXR,Regionalliga Central,/football/austria/regionalliga-central/,b5AynEYF,I3bnrlqS,Austria
25,ARZxV9ek,Regionalliga West,/football/austria/regionalliga-west/,zyXiph3S,ldf3Tm7k,Austria
25,25vtiiI8,Burgenland,/football/austria/burgenland/,CWhOxAe2,lOHYv6Sj,Austria
25,AJuqYMWg,Karnten,/football/austria/karnten/,6wpPr0qL,vkSbo8kN,Austria
25,IgSLVvWI,Niederosterreich,/football/austria/niederosterreich/,QmGbzIye,t6Ig3TZ3,Austria
25,WMJnlMom,Oberosterreich,/football/austria/oberosterreich/,hvQ1dabE,foKP3k5i,Austria
25,IRZXovoC,Salzburg,/football/austria/salzburg/,SpOlkHjl,YyJT29Kc,Austria
25,ETqehL0t,Steiermark,/football/austria/steiermark/,dQF5oZkD,zLDUunDp,Austria
25,SpicneaU,Vorarlberg,/football/austria/vorarlberg/,QBhu2otB,KdHc2mkA,Austria
25,Myvp6xFb,Wien,/football/austria/wien/,I9XJf3Yp,2L62174G,Austria
25,MLe14GqB,OFB Cup,/football/austria/ofb-cup/,z7wFI6Qi,8nQ2VTTL,Austria
25,fZg92fEN,Bundesliga Women,/football/austria/bundesliga-women/,lvgwep6b,OS3UCs2l,Austria
25,GlhfbYyo,OFB Cup Women,/football/austria/ofb-cup-women/,84gvFOPG,8lKREz4t,Austria
26,dScZTJ6k,Premier League,/football/azerbaijan/premier-league/,xUUBfNMH,Y5mO1DE2,Azerbaijan
26,Gbmwj1T8,I Liqa,/football/azerbaijan/i-liqa/,bNPpBr7b,MehDWGAF,Azerbaijan
26,bZlfrcje,Azerbaijan Cup,/football/azerbaijan/azerbaijan-cup/,dQVX9ZCF,dMcBRRy2,Azerbaijan
28,6XaEdzz1,Premier League,/football/bahrain/premier-league/,2HZas7mf,CdnS0XT8,Bahrain
28,lrO23VBt,King's Cup,/football/bahrain/king-s-cup/,MN9rqKOb,Yu1Eu9Hj,Bahrain
28,v3ijloA4,Bahrain Cup,/football/bahrain/bahrain-cup/,8CkaGzw2,raN2hj8c,Bahrain
28,O8X6FuzI,Super Cup,/football/bahrain/super-cup/,Qe2cl57T,8Yo5BNtP,Bahrain
29,YLv8FQfB,BFL,/football/bangladesh/bfl/,xlLBeIP1,ANxldAMe,Bangladesh
29,0bukcrmo,Federation Cup,/football/bangladesh/federation-cup/,6e7Be9VI,jqQ0FYn2,Bangladesh
30,Q3aIBLWj,Premier League,/football/barbados/premier-league/,YJOnKPbU,MT9qiQto,Barbados
22,j1MnZ14E,Liga Profesional,/football/argentina/liga-profesional/,KYiWfJVg,naYhNOaA,Argentina
